wavelength zos_01_11.21_UT_0.02% zos_02_11.34_UT_0% zos_03_11.45_UT_0% zos_07_11.57_UT_18.11% zos_08_12.05_UT_11.63% zos_09_12.16_UT_20.47% zos_13_12.25_UT_32.57% zos_15_12.32_UT_36.21% zos_14_12.39_UT_21.86% zos_21_12.47_UT_57.94% zos_20_12.55_UT_46.91% zos_19_13.01_UT_62.74% zos_27_13.09_UT_79.44% zos_26_13.16_UT_88.42% zos_25_13.29_UT_73.85% zos_a_61_9.45_UT_100% zos_b_61_9.52_UT_100% zos_c_61_9.57_UT_100% zos_d_61_10.04_UT_100% zos_e_61_10.10_UT_100%
455 0.073644 0.04522 0.048638 0.053419 0.052529 0.057089 0.063162 0.041141 0.073377 0.038783 0.02945 0.014396 0.015481 0.0116 0.016048 0.014722 0.014951 0.016543 0.014484 0.016408
456 0.073956 0.045486 0.048871 0.053551 0.052711 0.057269 0.063364 0.041272 0.073656 0.038905 0.029513 0.014378 0.015444 0.011567 0.016079 0.014726 0.014957 0.016538 0.014465 0.016385
457 0.074278 0.045759 0.0491 0.053721 0.05291 0.057416 0.063556 0.041407 0.073939 0.039035 0.029578 0.014403 0.015437 0.011563 0.016099 0.014717 0.01495 0.016537 0.014415 0.016381
458 0.074601 0.046012 0.04933 0.053923 0.053104 0.057545 0.063789 0.04153 0.074225 0.039167 0.029649 0.014457 0.015474 0.011593 0.016093 0.014703 0.014926 0.016514 0.01436 0.016389
459 0.074885 0.046233 0.049575 0.054055 0.053259 0.057709 0.063974 0.041601 0.074492 0.039244 0.029696 0.01441 0.015436 0.011535 0.016046 0.014667 0.014921 0.016504 0.014373 0.016378
460 0.075188 0.046473 0.0498 0.054194 0.053403 0.057865 0.064176 0.041723 0.074766 0.039371 0.029743 0.014379 0.015432 0.011521 0.016049 0.014652 0.014903 0.016494 0.014358 0.016347
461 0.075492 0.046723 0.050004 0.054343 0.053552 0.057998 0.06437 0.041864 0.075037 0.039468 0.029803 0.014394 0.015458 0.011541 0.016073 0.014638 0.014877 0.016469 0.014324 0.016332
462 0.075748 0.046944 0.050206 0.054484 0.05372 0.058104 0.064501 0.041977 0.075285 0.039557 0.029879 0.014445 0.015455 0.011536 0.01606 0.014634 0.014864 0.016459 0.014315 0.01631
463 0.076046 0.047162 0.050438 0.054587 0.053882 0.05828 0.064714 0.042108 0.075536 0.039657 0.029946 0.014481 0.015448 0.011534 0.016058 0.014651 0.014848 0.016441 0.014275 0.016313
464 0.076356 0.047383 0.050668 0.054697 0.05404 0.058453 0.064929 0.042234 0.075778 0.039763 0.029994 0.014486 0.015433 0.011517 0.01605 0.014636 0.014836 0.016439 0.014243 0.016313
465 0.076648 0.047632 0.050871 0.054844 0.054199 0.058571 0.06508 0.042335 0.076007 0.039836 0.030033 0.014469 0.015421 0.011468 0.016056 0.014613 0.014834 0.016439 0.014256 0.016285
466 0.076938 0.047875 0.051085 0.054977 0.054359 0.058753 0.065261 0.04246 0.076232 0.03992 0.030093 0.014493 0.015459 0.011475 0.016061 0.014632 0.014825 0.016451 0.014279 0.016301
467 0.077193 0.0481 0.051293 0.05511 0.054492 0.058912 0.065426 0.042572 0.076473 0.039985 0.030141 0.014495 0.015453 0.01147 0.016046 0.014637 0.014796 0.016426 0.014286 0.016305
468 0.077425 0.048323 0.051497 0.055251 0.054621 0.059044 0.065594 0.042677 0.076698 0.040056 0.030175 0.014476 0.015406 0.011449 0.016018 0.014615 0.014761 0.016388 0.014266 0.016291
469 0.077707 0.048577 0.051729 0.055379 0.054834 0.059272 0.065802 0.042849 0.076962 0.040121 0.030244 0.014522 0.015447 0.011471 0.016076 0.014587 0.014776 0.016361 0.014225 0.016259
470 0.077997 0.048833 0.051963 0.055529 0.055019 0.059461 0.065999 0.043006 0.077161 0.040217 0.030322 0.014533 0.01545 0.011483 0.016092 0.01457 0.014781 0.016342 0.014182 0.016243
471 0.078289 0.049052 0.052189 0.055665 0.05517 0.059602 0.066178 0.04313 0.077319 0.040329 0.030383 0.014523 0.015446 0.011465 0.01608 0.014559 0.014773 0.016319 0.014154 0.016239
472 0.078594 0.049299 0.052406 0.055773 0.055321 0.059743 0.066363 0.043236 0.077522 0.040419 0.030405 0.014544 0.015464 0.011463 0.01607 0.014554 0.014771 0.016335 0.014149 0.016245
473 0.078877 0.049538 0.052635 0.05591 0.055465 0.059902 0.066562 0.043335 0.077746 0.040471 0.03045 0.01455 0.015447 0.011468 0.01607 0.014537 0.014774 0.016309 0.01414 0.016239
474 0.079135 0.049775 0.052862 0.056076 0.055619 0.060057 0.066784 0.043466 0.077979 0.040535 0.030531 0.01456 0.015443 0.011466 0.016093 0.01454 0.014781 0.016288 0.01412 0.016249
475 0.079382 0.050006 0.053079 0.056249 0.055791 0.060197 0.066988 0.043635 0.078211 0.04064 0.030637 0.014582 0.01546 0.011461 0.016136 0.014549 0.014785 0.016292 0.014094 0.016239
476 0.079664 0.050234 0.053304 0.056377 0.055939 0.060334 0.067175 0.043749 0.078422 0.040722 0.030699 0.014557 0.01548 0.011433 0.016123 0.014552 0.014754 0.016276 0.014109 0.016232
477 0.079966 0.050485 0.053543 0.056522 0.056103 0.060496 0.06738 0.043866 0.078673 0.040802 0.030761 0.014572 0.015496 0.011435 0.016142 0.014532 0.014738 0.016252 0.014111 0.01621
478 0.080258 0.050731 0.053781 0.05669 0.056286 0.060696 0.067593 0.043997 0.078929 0.040884 0.030823 0.014628 0.015506 0.011449 0.01615 0.014502 0.01475 0.016235 0.014091 0.016192
479 0.080493 0.050928 0.053958 0.056821 0.056447 0.060843 0.067747 0.044099 0.079109 0.040953 0.030827 0.014619 0.015495 0.011424 0.016114 0.014516 0.014758 0.016261 0.014098 0.016234
480 0.080773 0.051149 0.054154 0.056966 0.056607 0.061009 0.067944 0.044219 0.079318 0.041066 0.030899 0.01462 0.015524 0.011421 0.016108 0.014538 0.014758 0.016268 0.014074 0.016264
481 0.081066 0.051363 0.054363 0.057132 0.056759 0.061192 0.068148 0.044334 0.079557 0.041181 0.030993 0.014622 0.015545 0.01143 0.016154 0.014529 0.014745 0.016267 0.014033 0.016258
482 0.081302 0.051564 0.054552 0.057306 0.056885 0.061356 0.068292 0.044408 0.079797 0.041233 0.031019 0.014596 0.015523 0.011399 0.01618 0.014473 0.01472 0.01627 0.014016 0.016232
483 0.081585 0.051776 0.054774 0.057457 0.057037 0.061482 0.068503 0.044523 0.080039 0.041315 0.031095 0.014602 0.01552 0.011406 0.01618 0.014476 0.014725 0.016262 0.014027 0.016227
484 0.081882 0.051987 0.055011 0.0576 0.057196 0.061607 0.068726 0.044658 0.080256 0.041398 0.031184 0.014621 0.015508 0.011402 0.016176 0.014505 0.014746 0.016267 0.01404 0.016257
485 0.08217 0.052198 0.055245 0.057752 0.057344 0.061769 0.068922 0.044792 0.080462 0.041501 0.031245 0.01463 0.015503 0.011391 0.016177 0.014514 0.01476 0.016304 0.014018 0.016287
486 0.0825 0.052429 0.055484 0.057941 0.057541 0.061983 0.069165 0.044933 0.080716 0.041597 0.031316 0.014642 0.015515 0.01142 0.016213 0.014504 0.014737 0.01627 0.013996 0.016266
487 0.082791 0.052641 0.055718 0.058101 0.05772 0.062219 0.069393 0.045079 0.080972 0.041692 0.031378 0.014661 0.015514 0.011441 0.016224 0.014498 0.014745 0.016259 0.013995 0.016282
488 0.083041 0.052848 0.055941 0.058243 0.057876 0.062436 0.069594 0.045228 0.081213 0.04178 0.031428 0.014682 0.015499 0.011434 0.016206 0.014503 0.014783 0.016268 0.014017 0.016317
489 0.083341 0.053076 0.056151 0.058362 0.058079 0.062587 0.069822 0.045361 0.081437 0.041867 0.031471 0.014689 0.015498 0.01143 0.016239 0.014484 0.014768 0.016252 0.013996 0.01626
490 0.083643 0.053305 0.056388 0.058501 0.058231 0.062717 0.070039 0.045493 0.081703 0.041985 0.031548 0.014716 0.015514 0.011424 0.016251 0.014501 0.014775 0.01625 0.013994 0.016262
491 0.083949 0.053541 0.056628 0.058672 0.058369 0.062861 0.070238 0.045653 0.081952 0.042118 0.031653 0.014755 0.015533 0.011442 0.016276 0.014532 0.014813 0.016266 0.014015 0.016315
492 0.084289 0.05378 0.056837 0.058876 0.058578 0.063047 0.070484 0.045797 0.082179 0.042235 0.031766 0.014781 0.015548 0.011509 0.016325 0.014531 0.014866 0.016289 0.014045 0.016355
493 0.0846 0.05401 0.05709 0.059079 0.058773 0.063264 0.070732 0.045975 0.082454 0.04238 0.03189 0.014792 0.015586 0.011525 0.016363 0.014532 0.014916 0.016332 0.014078 0.016402
494 0.084915 0.05424 0.057352 0.059279 0.058988 0.063485 0.070972 0.046159 0.082777 0.042526 0.032011 0.014806 0.015632 0.011551 0.016408 0.014559 0.014947 0.016364 0.014092 0.01644
495 0.085259 0.054464 0.057595 0.059479 0.059241 0.063698 0.071217 0.046324 0.083088 0.042669 0.032126 0.014837 0.01567 0.011626 0.016442 0.014615 0.014969 0.016391 0.014087 0.016472
496 0.08561 0.054717 0.057877 0.059693 0.059465 0.063915 0.071478 0.046476 0.083411 0.042846 0.032262 0.014884 0.015699 0.011683 0.016507 0.014636 0.015054 0.016455 0.014136 0.016519
