"","id","index","value","biomass","weight_per_m2"
"1","H_01","ndvi",0.517671770496531,"A_per_m2",84.5996941946253
"2","H_01","ndvi",0.517671770496531,"B_per_m2",51.8349965767737
"3","H_01","mND_B5B6",0.409534479277159,"A_per_m2",84.5996941946253
"4","H_01","mND_B5B6",0.409534479277159,"B_per_m2",51.8349965767737
"5","H_02","ndvi",0.596952207408597,"A_per_m2",93.7670189167184
"6","H_02","ndvi",0.596952207408597,"B_per_m2",104.405642668283
"7","H_02","mND_B5B6",0.468370307894546,"A_per_m2",93.7670189167184
"8","H_02","mND_B5B6",0.468370307894546,"B_per_m2",104.405642668283
"9","H_03","ndvi",0.542813454386473,"A_per_m2",108.706362908278
"10","H_03","ndvi",0.542813454386473,"B_per_m2",98.9165655198695
"11","H_03","mND_B5B6",0.440113428748463,"A_per_m2",108.706362908278
"12","H_03","mND_B5B6",0.440113428748463,"B_per_m2",98.9165655198695
"13","H_04","ndvi",0.181308102525731,"A_per_m2",8.5448520557782
"14","H_04","ndvi",0.181308102525731,"B_per_m2",18.164884171555
"15","H_04","mND_B5B6",0.105447796732983,"A_per_m2",8.5448520557782
"16","H_04","mND_B5B6",0.105447796732983,"B_per_m2",18.164884171555
"17","H_05","ndvi",0.485740080223199,"A_per_m2",51.8349965767737
"18","H_05","ndvi",0.485740080223199,"B_per_m2",77.4695527441083
"19","H_05","mND_B5B6",0.340891760613712,"A_per_m2",51.8349965767737
"20","H_05","mND_B5B6",0.340891760613712,"B_per_m2",77.4695527441083
"21","H_06","ndvi",0.472764512953376,"A_per_m2",81.8834498325236
"22","H_06","ndvi",0.472764512953376,"B_per_m2",82.4493340746281
"23","H_06","mND_B5B6",0.383609531969524,"A_per_m2",81.8834498325236
"24","H_06","mND_B5B6",0.383609531969524,"B_per_m2",82.4493340746281
"25","H_07","ndvi",0.609140945077228,"A_per_m2",72.8293019588513
"26","H_07","ndvi",0.609140945077228,"B_per_m2",55.8527746957158
"27","H_07","mND_B5B6",0.411537393390597,"A_per_m2",72.8293019588513
"28","H_07","mND_B5B6",0.411537393390597,"B_per_m2",55.8527746957158
"29","H_09","ndvi",0.598038191522153,"A_per_m2",99.9351571556577
"30","H_09","ndvi",0.598038191522153,"B_per_m2",43.1203792483642
"31","H_09","mND_B5B6",0.428759866261852,"A_per_m2",99.9351571556577
"32","H_09","mND_B5B6",0.428759866261852,"B_per_m2",43.1203792483642
"33","H_10","ndvi",0.252877439115492,"A_per_m2",36.2731799188995
"34","H_10","ndvi",0.252877439115492,"B_per_m2",35.4243535557427
"35","H_10","mND_B5B6",0.158446634883761,"A_per_m2",36.2731799188995
"36","H_10","mND_B5B6",0.158446634883761,"B_per_m2",35.4243535557427
"37","H_11","ndvi",0.45431589071917,"A_per_m2",45.4970930652032
"38","H_11","ndvi",0.45431589071917,"B_per_m2",30.3879838010126
"39","H_11","mND_B5B6",0.337736024050292,"A_per_m2",45.4970930652032
"40","H_11","mND_B5B6",0.337736024050292,"B_per_m2",30.3879838010126
"41","H_12","ndvi",0.47793259435091,"A_per_m2",48.8358100936198
"42","H_12","ndvi",0.47793259435091,"B_per_m2",54.8907714841381
"43","H_12","mND_B5B6",0.350136170395591,"A_per_m2",48.8358100936198
"44","H_12","mND_B5B6",0.350136170395591,"B_per_m2",54.8907714841381
"45","H_13","ndvi",0.578901920696308,"A_per_m2",79.8462665609473
"46","H_13","ndvi",0.578901920696308,"B_per_m2",100.783983518814
"47","H_13","mND_B5B6",0.447787987801051,"A_per_m2",79.8462665609473
"48","H_13","mND_B5B6",0.447787987801051,"B_per_m2",100.783983518814
"49","H_14","ndvi",0.610925616131473,"A_per_m2",104.405642668283
"50","H_14","ndvi",0.610925616131473,"B_per_m2",53.0233534851932
"51","H_14","mND_B5B6",0.426279280697483,"A_per_m2",104.405642668283
"52","H_14","mND_B5B6",0.426279280697483,"B_per_m2",53.0233534851932
"53","H_15","ndvi",0.410121916240686,"A_per_m2",23.6539613199688
"54","H_15","ndvi",0.410121916240686,"B_per_m2",11.4308616905112
"55","H_15","mND_B5B6",0.259141556840868,"A_per_m2",23.6539613199688
"56","H_15","mND_B5B6",0.259141556840868,"B_per_m2",11.4308616905112
"57","H_16","ndvi",0.513769951511248,"A_per_m2",77.2431990472665
"58","H_16","ndvi",0.513769951511248,"B_per_m2",61.0589097230774
"59","H_16","mND_B5B6",0.432497463365694,"A_per_m2",77.2431990472665
"60","H_16","mND_B5B6",0.432497463365694,"B_per_m2",61.0589097230774
"61","H_17","ndvi",0.38068342165637,"A_per_m2",78.0354369862129
"62","H_17","ndvi",0.38068342165637,"B_per_m2",18.6741799894491
"63","H_17","mND_B5B6",0.278533513861147,"A_per_m2",78.0354369862129
"64","H_17","mND_B5B6",0.278533513861147,"B_per_m2",18.6741799894491
"65","H_18","ndvi",0.293304118890291,"A_per_m2",34.2359966473233
"66","H_18","ndvi",0.293304118890291,"B_per_m2",31.067044891538
"67","H_18","mND_B5B6",0.225749119985535,"A_per_m2",34.2359966473233
"68","H_18","mND_B5B6",0.225749119985535,"B_per_m2",31.067044891538
"69","H_19","ndvi",0.336841343940808,"A_per_m2",36.2165914946891
"70","H_19","ndvi",0.336841343940808,"B_per_m2",27.7283278631213
"71","H_19","mND_B5B6",0.247274712250368,"A_per_m2",36.2165914946891
"72","H_19","mND_B5B6",0.247274712250368,"B_per_m2",27.7283278631213
"73","H_20","ndvi",0.671483857068338,"A_per_m2",134.227742227191
"74","H_20","ndvi",0.671483857068338,"B_per_m2",92.1825430388258
"75","H_20","mND_B5B6",0.423271492739688,"A_per_m2",134.227742227191
"76","H_20","mND_B5B6",0.423271492739688,"B_per_m2",92.1825430388258
"77","H_21","ndvi",0.162031529143265,"A_per_m2",26.1438519852287
"78","H_21","ndvi",0.162031529143265,"B_per_m2",8.09214466209459
"79","H_21","mND_B5B6",0.109751808027797,"A_per_m2",26.1438519852287
"80","H_21","mND_B5B6",0.109751808027797,"B_per_m2",8.09214466209459
"81","H_22","ndvi",0.269653454176852,"A_per_m2",12.9587491441934
"82","H_22","ndvi",0.269653454176852,"B_per_m2",23.8237265926002
"83","H_22","mND_B5B6",0.185442409776828,"A_per_m2",12.9587491441934
"84","H_22","mND_B5B6",0.185442409776828,"B_per_m2",23.8237265926002
"85","H_23","ndvi",0.596308910057612,"A_per_m2",43.346732945206
"86","H_23","ndvi",0.596308910057612,"B_per_m2",16.6369967178728
