Wavelength	AVE00021.asd
528	 0.0799684919164 
529	 7.94482651363394E-02 
530	 8.02020414649988E-02 
531	 8.08707863769603E-02 
532	 8.06507533036696E-02 
533	 8.08782875380448E-02 
534	 0.081591139237629 
535	 8.25401458571224E-02 
536	 8.29220692568201E-02 
537	 8.27186517634744E-02 
538	 8.32861200285333E-02 
539	 0.083905360499737 
540	 8.38490577829211E-02 
541	 8.39144534757007E-02 
542	 8.41971881035192E-02 
543	 0.084482977524774 
544	 8.49614386044937E-02 
545	 8.56187301990519E-02 
546	 8.59162836253987E-02 
547	 8.60551093785186E-02 
548	 8.63624450577865E-02 
549	 8.66805105483193E-02 
550	 8.69787884135912E-02 
551	 8.72691823402808E-02 
552	 8.75446415303352E-02 
553	 8.78114778201372E-02 
554	 8.81845099896555E-02 
555	 8.85384348260933E-02 
556	 8.86258129369131E-02 
557	 0.088559420377966 
558	 0.088460832845449 
559	 8.86934623761973E-02 
560	 8.88960763617573E-02 
561	 0.08874810385761 
562	 8.87340916765129E-02 
563	 8.88428941663348E-02 
564	 8.87992217030713E-02 
565	 8.87783668232082E-02 
566	 8.87868490812004E-02 
567	 8.84779952876098E-02 
568	 8.80182118761067E-02 
569	 8.76578048187684E-02 
570	 8.72913823446833E-02 
571	 8.70154832787655E-02 
572	 8.72279550112556E-02 
573	 8.72896801318397E-02 
574	 8.68432823678805E-02 
575	 8.64314856607127E-02 
576	 8.62235232027369E-02 
577	 8.63930925028752E-02 
578	 8.64339754272653E-02 
579	 0.086196681662181 
580	 8.58966817301745E-02 
581	 8.55038210243092E-02 
582	 8.50222145768614E-02 
583	 8.49153402292932E-02 
584	 8.51247471423019E-02 
585	 8.53210017198002E-02 
586	 8.53419834047403E-02 
587	 8.51016883131541E-02 
588	 8.46693932465505E-02 
589	 8.44128825160142E-02 
590	 8.47838218259438E-02 
591	 8.46374521128585E-02 
592	 8.40049707819108E-02 
593	 8.39357229729374E-02 
594	 0.083870214534191 
595	 8.35640925647952E-02 
596	 8.37916203875232E-02 
597	 8.41864163682665E-02 
598	 8.39425301871435E-02 
599	 8.36799766074866E-02 
600	 8.35707695231556E-02 
601	 8.34978098635032E-02 
602	 8.34298180378159E-02 
603	 8.33242546459998E-02 
604	 8.29353078137447E-02 
605	 8.24661574654926E-02 
606	 8.25598086712308E-02 
607	 8.25211817222447E-02 
608	 0.08217255725198 
609	 8.23512485783566E-02 
610	 8.23167246327332E-02 
611	 8.10858759422939E-02 
612	 8.06371294541113E-02 
613	 0.081024637323387 
614	 8.07113577992992E-02 
615	 8.02160884513801E-02 
616	 7.98555332940432E-02 
617	 7.95467060648949E-02 
618	 7.93556649631452E-02 
619	 7.93859917777117E-02 
620	 7.95775708756071E-02 
621	 7.97424848174488E-02 
622	 7.92312097530262E-02 
623	 7.86396498095307E-02 
624	 7.85276305798381E-02 
625	 7.86389266353947E-02 
626	 7.88364092756183E-02 
627	 0.078894558688413 
628	 7.89986402941587E-02 
629	 0.079134576521184 
630	 7.87966245800284E-02 
631	 7.84703752704465E-02 
632	 0.078789020600789 
633	 7.84556762662667E-02 
634	 7.77052983651248E-02 
635	 7.84345158804419E-02 
636	 7.87744836650394E-02 
637	 7.77704064804047E-02 
638	 7.73512155507747E-02 
639	 7.73349711991417E-02 
640	 7.69212998910506E-02 
641	 7.66584512129275E-02 
642	 7.66350068982792E-02 
643	 0.076572069594492 
644	 7.62800691514267E-02 
645	 7.56284726221099E-02 
646	 7.50785015680605E-02 
647	 7.47430565929981E-02 
648	 7.46682678525293E-02 
649	 7.45336579547928E-02 
650	 7.42068097410345E-02 
651	 7.38560148701231E-02 
652	 0.073435617562236 
